0.0,0.248,0,0,0
0.0,0.337,0,0,0
0.0,0.346,0,0,0
0.004,0.25,0.12454,0.1516,0.1762
0.008,0.28,0.14128,0.1712,0.1984
0.0,0.256,0,0,0
0.0,0.292,0,0,0
0.0,0.312,0,0,0
0.0,0.35,0,0,0
0.016,0.281,0.14585,0.175,0.2015
0.0,0.286,0,0,0
0.089,0.221,0.15368,0.1682,0.1814
0.0,0.329,0,0,0
0.004,0.294,0.1461,0.178,0.207
0.051,0.201,0.1245,0.141,0.156
0.0,0.261,0,0,0
0.008,0.214,0.10894,0.1316,0.1522
0.004,0.287,0.14267,0.1738,0.2021
0.074,0.246,0.15828,0.1772,0.1944
0.012,0.242,0.1247,0.15,0.173
0.008,0.288,0.1452,0.176,0.204
0.023,0.267,0.14256,0.1694,0.1938
0.008,0.245,0.12413,0.1502,0.1739
0.008,0.244,0.12364,0.1496,0.1732
0.0,0.297,0,0,0
0.004,0.281,0.13973,0.1702,0.1979
0.019,0.253,0.13366,0.1594,0.1828
0.023,0.28,0.14893,0.1772,0.2029
0.0,0.353,0,0,0
0.004,0.297,0.14757,0.1798,0.2091
0.078,0.23,0.15248,0.1692,0.1844
0.047,0.237,0.1401,0.161,0.18
0.0,0.34,0,0,0
0.004,0.311,0.15443,0.1882,0.2189
0.004,0.229,0.11425,0.139,0.1615
0.023,0.25,0.13423,0.1592,0.1819
0.0,0.349,0,0,0
0.023,0.249,0.13374,0.1586,0.1812
0.023,0.273,0.1455,0.173,0.198
0.0,0.302,0,0,0
0.0,0.247,0,0,0
0.0,0.298,0,0,0
0.074,0.252,0.16122,0.1808,0.1986
0.016,0.277,0.14389,0.1726,0.1987
0.023,0.232,0.12541,0.1484,0.1693
0.004,0.302,0.15002,0.1828,0.2126
0.023,0.251,0.13472,0.1598,0.1826
0.008,0.284,0.14324,0.1736,0.2012
0.0,0.383,0,0,0
0.016,0.324,0.16692,0.2008,0.2316
0.016,0.243,0.12723,0.1522,0.1749
0.012,0.275,0.14087,0.1698,0.1961
0.0,0.272,0,0,0
0.008,0.268,0.1354,0.164,0.19
0.004,0.252,0.12552,0.1528,0.1776
0.008,0.298,0.1501,0.182,0.211
0.0,0.329,0,0,0
0.074,0.259,0.16465,0.185,0.2035
0.019,0.296,0.15473,0.1852,0.2129
0.019,0.285,0.14934,0.1786,0.2052
0.016,0.268,0.13948,0.1672,0.1924
0.008,0.268,0.1354,0.164,0.19
0.008,0.309,0.15549,0.1886,0.2187
0.0,0.273,0,0,0
0.027,0.275,0.14852,0.1758,0.2006
0.0,0.289,0,0,0
0.0,0.259,0,0,0
0.039,0.23,0.13259,0.1536,0.1727
0.019,0.268,0.14101,0.1684,0.1933
0.089,0.249,0.1674,0.185,0.201
0.047,0.237,0.1401,0.161,0.18
0.012,0.244,0.12568,0.1512,0.1744
0.019,0.296,0.15473,0.1852,0.2129
0.016,0.267,0.13899,0.1666,0.1917
0.008,0.245,0.12413,0.1502,0.1739
0.008,0.296,0.14912,0.1808,0.2096
0.0,0.281,0,0,0
0.043,0.275,0.15668,0.1822,0.2054
0.023,0.242,0.13031,0.1544,0.1763
0.023,0.223,0.121,0.143,0.163
0.0,0.298,0,0,0
0.012,0.19,0.09922,0.1188,0.1366
0.023,0.247,0.13276,0.1574,0.1798
0.004,0.277,0.13777,0.1678,0.1951
0.0,0.3,0,0,0
0.008,0.242,0.12266,0.1484,0.1718
0.008,0.178,0.0913,0.11,0.127
0.051,0.201,0.1245,0.141,0.156
0.008,0.297,0.14961,0.1814,0.2103
0.0,0.287,0,0,0
0.004,0.295,0.14659,0.1786,0.2077
0.039,0.292,0.16297,0.1908,0.2161
0.0,0.32,0,0,0
0.043,0.25,0.14443,0.1672,0.1879
0.012,0.24,0.12372,0.1488,0.1716
0.008,0.309,0.15549,0.1886,0.2187
0.004,0.322,0.15982,0.1948,0.2266
0.008,0.24,0.12168,0.1472,0.1704
0.0,0.318,0,0,0
0.004,0.247,0.12307,0.1498,0.1741
0.074,0.204,0.1377,0.152,0.165
0.004,0.271,0.13483,0.1642,0.1909
0.0,0.291,0,0,0
0.0,0.287,0,0,0
0.0,0.251,0,0,0
0.0,0.309,0,0,0
0.023,0.177,0.09846,0.1154,0.1308
0.0,0.31,0,0,0
0.012,0.26,0.13352,0.1608,0.1856
0.023,0.223,0.121,0.143,0.163
0.004,0.297,0.14757,0.1798,0.2091
0.008,0.294,0.14814,0.1796,0.2082
0.0,0.256,0,0,0
0.008,0.222,0.11286,0.1364,0.1578
0.0,0.292,0,0,0
0.004,0.285,0.14169,0.1726,0.2007
0.0,0.278,0,0,0
0.016,0.288,0.14928,0.1792,0.2064
0.012,0.265,0.13597,0.1638,0.1891
0.004,0.203,0.10151,0.1234,0.1433
0.047,0.261,0.15186,0.1754,0.1968
0.012,0.241,0.12421,0.1494,0.1723
0.016,0.293,0.15173,0.1822,0.2099
0.051,0.201,0.1245,0.141,0.156
0.004,0.281,0.13973,0.1702,0.1979
0.074,0.263,0.16661,0.1874,0.2063
0.004,0.286,0.14218,0.1732,0.2014
0.016,0.238,0.12478,0.1492,0.1714
0.0,0.299,0,0,0
0.008,0.28,0.14128,0.1712,0.1984
0.019,0.272,0.14297,0.1708,0.1961
0.008,0.311,0.15647,0.1898,0.2201
0.0,0.281,0,0,0
0.089,0.21,0.14829,0.1616,0.1737
0.039,0.221,0.12818,0.1482,0.1664
0.051,0.275,0.16076,0.1854,0.2078
0.008,0.237,0.12021,0.1454,0.1683
0.008,0.295,0.14863,0.1802,0.2089
0.023,0.24,0.12933,0.1532,0.1749
0.0,0.295,0,0,0
0.008,0.288,0.1452,0.176,0.204
0.035,0.259,0.14476,0.1694,0.1918
0.016,0.248,0.12968,0.1552,0.1784
0.023,0.243,0.1308,0.155,0.177
0.0,0.255,0,0,0
0.008,0.243,0.12315,0.149,0.1725
0.039,0.278,0.15611,0.1824,0.2063
0.0,0.243,0,0,0
0.004,0.297,0.14757,0.1798,0.2091
0.008,0.238,0.1207,0.146,0.169
0.008,0.242,0.12266,0.1484,0.1718
0.012,0.333,0.16929,0.2046,0.2367
0.012,0.269,0.13793,0.1662,0.1919
0.023,0.242,0.13031,0.1544,0.1763
